source	creator	date	title	identifier	publisher
http://obvil.github.io/critique2000/tei/bpt6k6279503c.xml	Drouilhet de Sigalas, Paul (1817-1900)	1852	De l'Art en Italie : Dante Alighieri et la Divine Comédie / par le baron Paul Drouilhet de Sigalas	http://gallica.bnf.fr/ark:/12148/bpt6k6279503c	F. Didot frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6280126g.xml	Schöll, Maximilian Samson Friedrich (1766-1833)	1823	Histoire de la littérature grecque profane, depuis son origine jusqu'à la prise de Constantinople par les Turcs. Tome 8,Edition 2 / , suivie d'un précis de l'histoire de la transplantation de la littérature grecque en Occident, 2e édition, entièrement refondue sur un nouveau plan... par M. Schoell	http://gallica.bnf.fr/ark:/12148/bpt6k6280126g	Gide fils (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62865096.xml	Moreau, M.	1827	Souvenirs du théâtre anglais à Paris , dessinés par MM. Devéria et Boulanger, avec un texte par M. Moreau	http://gallica.bnf.fr/ark:/12148/bpt6k62865096	H. Gaugain, Lambert et Cie (Paris)
http://obvil.github.io/critique2000/tei/bpt6k628911.xml	Troubat, Jules (1836-1914)	1897	Le buste de Sainte Beuve / [signé Jules Troubat]	http://gallica.bnf.fr/ark:/12148/bpt6k628911	Impr. de L. Duc (Paris)
http://obvil.github.io/critique2000/tei/bpt6k629005.xml	Troubat, Jules (1836-1914)	1903	Charles Baudelaire : discours prononcé, le 26 octobre 1902, au cimetière Montparnasse, pour l'inauguration du monument funéraire de Charles Baudelaire / Jules Troubat	http://gallica.bnf.fr/ark:/12148/bpt6k629005	librairie de la Province (Paris)
http://obvil.github.io/critique2000/tei/bpt6k6290115z.xml	Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837)	1785	Lorgnette philosophique trouvée par un R. P. capucin sous les arcades du Palais-royal, et présentée au public par un célibataire.... Partie 1	http://gallica.bnf.fr/ark:/12148/bpt6k6290115z	l'auteur (Londres)
http://obvil.github.io/critique2000/tei/bpt6k6292297s.xml	Hoefer, Ferdinand (1811-1878)	1854	Nouvelle biographie générale : depuis les temps les plus reculés jusqu'à nos jours.... XLVI. Verne-Zyll / publiée par MM. Firmin-Didot frères, sous la direction de M. le Dr. Hoefer	http://gallica.bnf.fr/ark:/12148/bpt6k6292297s	Firmin-Didot frères (Paris)
http://obvil.github.io/critique2000/tei/bpt6k62927859.xml	Grimod de La Reynière, Alexandre-Balthazar-Laurent (1758-1837)	1785	Lorgnette philosophique trouvée par un R. P. capucin sous les arcades du Palais-royal, et présentée au public par un célibataire.... Partie 2	http://gallica.bnf.fr/ark:/12148/bpt6k62927859	l'auteur (Londres)
http://obvil.github.io/critique2000/tei/bpt6k6293158n.xml	Cauvet, Jules (1811-1884)	1866	Génie littéraire de l'empereur Napoléon Ier : séance publique du 7 juin 1866 / discours de M. Jules Cauvet,... ; Académie impériale des sciences, arts et belles-lettres de Caen	http://gallica.bnf.fr/ark:/12148/bpt6k6293158n	Le Blanc-Hardel (Caen)
http://obvil.github.io/critique2000/tei/bpt6k62938v.xml	Barnave, Antoine (1761-1793)	1843	Oeuvres de Barnave. [Volume 4] / mises en ordre et précédées d'une notice historique sur Barnave par M. Bérenger, de la Drôme	http://gallica.bnf.fr/ark:/12148/bpt6k62938v	J. Chapelle et Guiller (Paris)
